iter	Passed	Remaining
0	3	327
1	5	267
2	7	232
3	8	204
4	10	193
5	11	182
6	12	172
7	14	164
8	15	158
9	17	153
10	18	149
11	19	144
12	21	140
13	22	140
14	24	137
15	25	133
16	26	129
17	27	127
18	28	123
19	29	119
20	31	117
21	32	113
22	33	111
23	34	108
24	35	106
25	36	103
26	37	101
27	38	98
28	39	96
29	40	94
30	41	92
31	42	90
32	43	88
33	44	86
34	46	85
35	47	83
36	48	82
37	49	80
38	50	79
39	52	78
40	53	77
41	54	75
42	55	73
43	56	72
44	58	71
45	59	69
46	60	67
47	61	66
48	62	64
49	63	63
50	64	62
51	65	60
52	66	59
53	67	57
54	68	56
55	69	54
56	70	53
57	71	51
58	73	51
59	74	49
60	75	48
61	76	47
62	77	45
63	78	44
64	80	43
65	81	42
66	83	40
67	84	39
68	85	38
69	87	37
70	88	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	108	12
90	109	10
91	110	9
92	112	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
