iter	Passed	Remaining
0	142	142715
1	144	72272
2	146	48798
3	148	37052
4	156	31055
5	158	26211
6	160	22731
7	162	20120
8	166	18285
9	194	19228
10	200	18029
11	203	16745
12	208	15842
13	210	14851
14	213	13987
15	218	13458
16	221	12805
17	223	12189
18	225	11649
19	227	11168
20	253	11812
21	258	11483
22	265	11274
23	267	10894
24	269	10529
25	272	10195
26	273	9872
27	282	9816
28	288	9672
29	299	9668
30	302	9460
31	305	9250
32	342	10048
33	346	9858
34	349	9642
35	361	9690
36	364	9485
37	373	9448
38	376	9270
39	379	9113
40	381	8929
41	386	8805
42	388	8635
43	412	8958
44	418	8872
45	420	8728
46	426	8640
47	430	8533
48	432	8387
49	484	9210
50	487	9070
51	491	8957
52	498	8906
53	501	8779
54	503	8652
55	506	8544
56	509	8424
57	511	8309
58	518	8263
59	520	8153
60	523	8053
61	548	8291
62	550	8181
63	554	8108
64	556	8007
65	561	7941
66	563	7842
67	568	7795
68	572	7720
69	574	7636
70	576	7547
71	578	7459
72	581	7381
73	589	7377
74	591	7297
75	760	9241
76	774	9283
77	810	9582
78	812	9477
79	821	9446
80	824	9354
81	839	9393
82	840	9287
83	843	9202
84	851	9168
85	854	9083
86	859	9015
87	1233	12786
88	1235	12647
89	1244	12584
90	1251	12500
91	1253	12375
92	1258	12275
93	1261	12155
94	1263	12037
95	1265	11917
96	1267	11803
97	1269	11685
98	1276	11614
99	1358	12227
100	1361	12117
101	1364	12010
102	1366	11899
103	1375	11849
104	1379	11755
105	1380	11646
106	1383	11543
107	1389	11477
108	1392	11379
109	1394	11279
110	1408	11283
111	1440	11420
112	1442	11323
113	1444	11225
114	1448	11145
115	1452	11068
116	1489	11239
117	1492	11156
118	1496	11076
119	1503	11026
120	1507	10953
121	1509	10864
122	1517	10819
123	1522	10753
124	1555	10887
125	1561	10830
126	1569	10790
127	1576	10737
128	1582	10686
129	1586	10615
130	1588	10534
131	1589	10454
132	1592	10382
133	1594	10307
134	1598	10245
135	1601	10171
136	1632	10283
137	1634	10208
138	1636	10134
139	1637	10061
140	1640	9995
141	1642	9922
142	1644	9856
143	1646	9787
144	1648	9718
145	1658	9702
146	1661	9642
147	1668	9602
148	1677	9581
149	1745	9893
150	1748	9829
151	1751	9773
152	1753	9709
153	1764	9695
154	1770	9650
155	1783	9650
156	1786	9590
157	1794	9564
158	1802	9533
159	1826	9588
160	1835	9563
161	1841	9527
162	1845	9477
163	1848	9421
164	1850	9362
165	1857	9330
166	1864	9298
167	1866	9241
168	1872	9207
169	1876	9162
170	1879	9110
171	1912	9208
172	1921	9183
173	1924	9134
174	1927	9085
175	1932	9045
176	1937	9010
177	1941	8966
178	1944	8919
179	2011	9164
180	2023	9155
181	2027	9114
182	2034	9082
183	2037	9037
184	2039	8985
185	2041	8936
186	2050	8915
187	2054	8873
188	2056	8824
189	2058	8774
190	2065	8750
191	2106	8864
192	2109	8819
193	2118	8800
194	2120	8754
195	2128	8730
196	2132	8694
197	2135	8648
198	2143	8627
199	2147	8590
200	2150	8547
201	2212	8739
202	2214	8692
203	2222	8670
204	2226	8635
205	2229	8594
206	2233	8555
207	2244	8547
208	2252	8526
209	2258	8497
210	2261	8456
211	2325	8644
212	2377	8783
213	2395	8799
214	2407	8788
215	2409	8743
216	2423	8744
217	2426	8705
218	2432	8674
219	2441	8657
220	2443	8614
221	2451	8592
222	2455	8555
223	2458	8518
224	2506	8635
225	2516	8617
226	2520	8582
227	2530	8567
228	2534	8533
229	2537	8496
230	2539	8454
231	2544	8423
232	2549	8393
233	2551	8353
234	2573	8378
235	2589	8383
236	2655	8547
237	2666	8538
238	2668	8497
239	2670	8456
240	2674	8421
241	2679	8393
242	2683	8361
243	2686	8322
244	2688	8284
245	2692	8251
246	2696	8220
247	2698	8182
248	2700	8146
249	2741	8224
250	2744	8190
251	2747	8154
252	2749	8118
253	2763	8117
254	2767	8086
255	2780	8081
256	2783	8047
257	2786	8014
258	2789	7979
259	2791	7944
260	2793	7908
261	2794	7872
262	2849	7985
263	2859	7970
264	2863	7941
265	2875	7935
266	2878	7903
267	2885	7881
268	2889	7850
269	2891	7817
270	2893	7783
271	2895	7749
272	2898	7719
273	2901	7686
274	2940	7753
275	2943	7721
276	2952	7705
277	2955	7675
278	2959	7647
279	2967	7631
280	2971	7604
281	2974	7573
282	2979	7548
283	2984	7525
284	2990	7503
285	3031	7567
286	3047	7570
287	3051	7542
288	3055	7517
289	3062	7499
290	3066	7472
291	3112	7546
292	3115	7518
293	3118	7488
294	3120	7458
295	3124	7431
296	3156	7471
297	3162	7449
298	3166	7424
299	3171	7399
300	3172	7368
301	3174	7337
302	3176	7307
303	3178	7277
304	3228	7357
305	3231	7328
306	3235	7302
307	3237	7273
308	3239	7243
309	3242	7216
310	3295	7300
311	3297	7270
312	3299	7242
313	3306	7224
314	3308	7195
315	3311	7167
316	3315	7143
317	3376	7241
318	3378	7211
319	3380	7184
320	3382	7155
321	3387	7132
322	3389	7104
323	3391	7075
324	3393	7047
325	3396	7022
326	3401	7000
327	3403	6972
328	3405	6944
329	3408	6921
330	3410	6893
331	3453	6948
332	3455	6920
333	3457	6893
334	3459	6866
335	3460	6839
336	3462	6812
337	3465	6786
338	3527	6877
339	3532	6856
340	3534	6831
341	3536	6805
342	3539	6780
343	3542	6754
344	3548	6736
345	3550	6711
346	3559	6698
347	3571	6690
348	3572	6664
349	3607	6698
350	3611	6676
351	3650	6719
352	3652	6694
353	3657	6674
354	3660	6650
355	3664	6628
356	3667	6604
357	3675	6592
358	3680	6571
359	3683	6547
360	3725	6594
361	3727	6569
362	3729	6544
363	3737	6529
364	3756	6536
365	3759	6511
366	3762	6489
367	3768	6471
368	3770	6447
369	3773	6425
370	3776	6403
371	3783	6387
372	3786	6364
373	3789	6342
374	3792	6320
375	3795	6298
376	3824	6319
377	3826	6296
378	3828	6273
379	3833	6254
380	3836	6232
381	3840	6213
382	3843	6192
383	3851	6178
384	3854	6156
385	3857	6135
386	3866	6124
387	3902	6154
388	3906	6135
389	3907	6112
390	3913	6095
391	3915	6073
392	3917	6050
393	3919	6028
394	3921	6006
395	3923	5984
396	3927	5964
397	3929	5943
398	3932	5923
399	3964	5946
400	3967	5926
401	3969	5905
402	3974	5887
403	3976	5866
404	3978	5844
405	3980	5824
406	3983	5803
407	3988	5787
408	3990	5766
409	3993	5746
410	4000	5732
411	4005	5716
412	4008	5697
413	4011	5678
414	4014	5659
415	4017	5639
416	4020	5620
417	4025	5605
418	4027	5585
419	4034	5571
420	4042	5559
421	4046	5542
422	4053	5529
423	4056	5510
424	4081	5521
425	4082	5501
426	4087	5485
427	4089	5465
428	4091	5445
429	4094	5427
430	4098	5410
431	4101	5392
432	4103	5373
433	4106	5355
434	4111	5339
435	4114	5322
436	4124	5313
437	4151	5327
438	4154	5309
439	4157	5290
440	4159	5271
441	4177	5273
442	4186	5263
443	4188	5245
444	4193	5230
445	4207	5226
446	4209	5208
447	4212	5190
448	4218	5177
449	4221	5159
450	4222	5140
451	4224	5121
452	4226	5103
453	4228	5085
454	4233	5071
455	4236	5053
456	4238	5035
457	4241	5019
458	4268	5030
459	4271	5014
460	4276	5000
461	4279	4983
462	4282	4966
463	4286	4951
464	4288	4934
465	4290	4916
466	4292	4899
467	4295	4882
468	4297	4865
469	4308	4858
470	4310	4841
471	4336	4850
472	4340	4835
473	4342	4819
474	4344	4802
475	4354	4793
476	4358	4778
477	4362	4764
478	4365	4748
479	4370	4734
480	4372	4717
481	4374	4701
482	4383	4692
483	4385	4675
484	4391	4663
485	4402	4656
486	4414	4649
487	4418	4636
488	4421	4620
489	4426	4607
490	4428	4591
491	4431	4575
492	4433	4559
493	4436	4543
494	4454	4544
495	4459	4531
496	4464	4518
497	4468	4504
498	4475	4493
499	4497	4497
500	4499	4481
501	4502	4466
502	4507	4454
503	4514	4442
504	4527	4437
505	4530	4422
506	4532	4406
507	4534	4391
508	4542	4382
509	4549	4371
510	4555	4359
511	4558	4344
512	4561	4329
513	4563	4314
514	4566	4300
515	4571	4287
516	4580	4278
517	4583	4264
518	4586	4250
519	4591	4238
520	4603	4232
521	4609	4221
522	4611	4206
523	4614	4191
524	4617	4178
525	4624	4167
526	4667	4189
527	4670	4174
528	4672	4160
529	4676	4146
530	4677	4131
531	4681	4118
532	4686	4106
533	4690	4093
534	4692	4078
535	4700	4068
536	4703	4055
537	4705	4040
538	4709	4028
539	4725	4025
540	4731	4014
541	4733	3999
542	4740	3989
543	4747	3979
544	4751	3966
545	4754	3953
546	4759	3941
547	4761	3927
548	4767	3916
549	4769	3902
550	4774	3890
551	4792	3889
552	4797	3877
553	4799	3863
554	4803	3851
555	4806	3838
556	4812	3827
557	4816	3815
558	4818	3801
559	4823	3789
560	4828	3778
561	4835	3768
562	4837	3754
563	4840	3741
564	4848	3732
565	4854	3722
566	4856	3708
567	4884	3714
568	4888	3702
569	4890	3689
570	4895	3677
571	4915	3678
572	4918	3665
573	4921	3652
574	4924	3639
575	4931	3630
576	4933	3617
577	4936	3604
578	4939	3591
579	4949	3584
580	4954	3573
581	4962	3563
582	4964	3550
583	4983	3549
584	4985	3536
585	4986	3523
586	4993	3513
587	4996	3500
588	4999	3488
589	5002	3476
590	5022	3475
591	5026	3464
592	5028	3451
593	5033	3440
594	5034	3427
595	5041	3417
596	5047	3407
597	5050	3395
598	5053	3383
599	5057	3371
600	5058	3358
601	5060	3345
602	5063	3333
603	5070	3324
604	5078	3315
605	5081	3303
606	5084	3292
607	5098	3287
608	5103	3276
609	5106	3265
610	5109	3252
611	5111	3240
612	5115	3229
613	5120	3219
614	5123	3207
615	5125	3194
616	5128	3183
617	5130	3171
618	5137	3162
619	5153	3158
620	5156	3147
621	5159	3135
622	5166	3126
623	5169	3115
624	5172	3103
625	5175	3091
626	5186	3085
627	5188	3073
628	5191	3061
629	5195	3051
630	5206	3044
631	5212	3034
632	5216	3024
633	5218	3012
634	5233	3007
635	5236	2996
636	5244	2988
637	5246	2976
638	5278	2981
639	5299	2980
640	5301	2968
641	5306	2958
642	5311	2948
643	5318	2939
644	5327	2932
645	5332	2922
646	5335	2911
647	5340	2900
648	5341	2889
649	5344	2877
650	5361	2874
651	5363	2862
652	5371	2854
653	5374	2843
654	5377	2832
655	5385	2824
656	5390	2814
657	5392	2802
658	5394	2791
659	5398	2780
660	5400	2769
661	5404	2759
662	5435	2762
663	5438	2751
664	5440	2740
665	5443	2729
666	5445	2718
667	5452	2709
668	5454	2698
669	5457	2688
670	5460	2677
671	5464	2667
672	5470	2658
673	5473	2647
674	5490	2643
675	5492	2632
676	5499	2623
677	5504	2614
678	5507	2603
679	5518	2597
680	5523	2587
681	5534	2580
682	5538	2570
683	5539	2559
684	5547	2551
685	5554	2542
686	5586	2545
687	5593	2536
688	5596	2526
689	5600	2516
690	5603	2505
691	5608	2496
692	5612	2486
693	5614	2475
694	5630	2470
695	5636	2461
696	5653	2457
697	5662	2449
698	5672	2442
699	5676	2432
700	5683	2424
701	5687	2414
702	5690	2404
703	5698	2396
704	5701	2385
705	5703	2375
706	5705	2364
707	5726	2361
708	5734	2353
709	5804	2370
710	5806	2360
711	5815	2352
712	5819	2342
713	5821	2331
714	5823	2321
715	5825	2310
716	5828	2300
717	5830	2289
718	5832	2279
719	5835	2269
720	5837	2258
721	5867	2259
722	5876	2251
723	5880	2241
724	5884	2231
725	5886	2221
726	5892	2212
727	5894	2202
728	5899	2193
729	5901	2182
730	5908	2174
731	5910	2164
732	5925	2158
733	5927	2148
734	5929	2137
735	5932	2127
736	5934	2117
737	5940	2108
738	5943	2099
739	5953	2091
740	5958	2082
741	5974	2077
742	5979	2068
743	5984	2059
744	5987	2049
745	5989	2039
746	5992	2029
747	5995	2019
748	6003	2011
749	6006	2002
750	6009	1992
751	6014	1983
752	6031	1978
753	6033	1968
754	6035	1958
755	6037	1948
756	6039	1938
757	6047	1930
